x       y       ex      ey   
70      1.712   0.5     0.001
68      1.670   0.5     0.001
66      1.632   0.5     0.001
64      1.610   0.5     0.001
61      1.578   0.5     0.001
60      1.569   0.5     0.001
58      1.526   0.5     0.001
56      1.469   0.5     0.001
54      1.394   0.5     0.001
52      1.368   0.5     0.001
50      1.319   0.5     0.001
48      1.282   0.5     0.001
46      1.228   0.5     0.001
44      1.187   0.5     0.001
42      1.135   0.5     0.001
40      1.054   0.5     0.001
38      1.006   0.5     0.001
36      0.947   0.5     0.001
34      0.870   0.5     0.001
32      0.800   0.5     0.001
30      0.706   0.5     0.001
28      0.635   0.5     0.001
26      0.618   0.5     0.001
24      0.543   0.5     0.001
22      0.434   0.5     0.001
20      0.307   0.5     0.001
18      0.211   0.5     0.001
16      0.151   0.5     0.001
14      0.031   0.5     0.001
13      -0.002   0.5     0.001
12      -0.128   0.5     0.001

