x       y       ex      ey   
75      0.604   0.5     0.001
74      0.594   0.5     0.001
73      0.583   0.5     0.001
72      0.576   0.5     0.001
71      0.559   0.5     0.001
70      0.534   0.5     0.001
69      0.517   0.5     0.001
68      0.514   0.5     0.001
67      0.489   0.5     0.001
66      0.476   0.5     0.001
65      0.459   0.5     0.001
64      0.384   0.5     0.001
63      0.369   0.5     0.001
62      0.368   0.5     0.001
61      0.346   0.5     0.001
60      0.339   0.5     0.001
58      0.266   0.5     0.001
57      0.249   0.5     0.001
53      0.101   0.5     0.001
40      -0.411  0.5     0.001
