x       y       ex      ey
4.5     1.779   0.1     0.001
4.6     1.775   0.1     0.001
4.7     1.771   0.1     0.001
4.8     1.767   0.1     0.001
4.9     1.763   0.1     0.001
5.0     1.758   0.1     0.001
10.0    1.557   0.1     0.001
20.0    1.197   0.1     0.001
30.0    0.880   0.1     0.001
40.0    0.600   0.1     0.001
50.0    0.351   0.1     0.001
60.0    0.127   0.1     0.001
61.0    0.106   0.1     0.001
62.0    0.085   0.1     0.001
63.0    0.065   0.1     0.001
64.0    0.044   0.1     0.001
65.0    0.024   0.1     0.001
65.5    0.015   0.1     0.001
65.6    0.013   0.1     0.001
65.7    0.011   0.1     0.001
65.8    0.009   0.1     0.001
65.9    0.007   0.1     0.001
66.0    0.004   0.1     0.001
66.1    0.002   0.1     0.001
66.2    0.000   0.1     0.001
66.3    -0.002  0.1     0.001
66.4    -0.003  0.1     0.001
66.5    -0.005  0.1     0.001
66.6    -0.007  0.1     0.001
66.7    -0.009  0.1     0.001
66.8    -0.011  0.1     0.001
66.9    -0.013  0.1     0.001
67.0    -0.015  0.1     0.001
