f   V1    e_V1   V2    e_V2   TdB   e_TdB fase    e_fase
100 1   0.05  1    0.05   -0.1  0.6  -8.279999733 0.070710678118655
168.602365  1.01 0.05    0.97   0.05  -0.4 0.6 -14.3223199844  0.069837241263081
284.267574  1    0.05   0.91  0.04 -0.8    0.6    -23.3181819916 0.066525066549466
479.281851  0.99 0.05    0.81   0.04  -1.7 0.6 -35.5512924194  0.074313521048272
808.080535  0.97 0.05    0.62   0.03  -3.9 0.6 -49.474521637   0.135087072701527
1362.44289  0.96 0.05    0.43   0.02  -7   0.6   -63.2697563171    0.160532392807709
2297.11093  0.98 0.05    0.27   0.01  -11.1    0.6    -73.7190093994 0.030525748030402
3872.983346 0.98    0.05   0.166 0.009   -15.4 0.6 -79.4117507935  0.013635158622486
6529.941505 0.97    0.05   0.101 0.006   -19.7 0.6 -83.6553497314  0.00729437882926
11009.635789    0.98   0.05  0.06 0.004   -24.2 0.7 -84.8458175659  0.004066108401322
18562.506281    0.98   0.05  0.036    0.003  -28.7    0.8    -87.7951126099 0.002519654002279
31296.824531    0.98   0.05  0.022    0.002  -33.1    0.9    -88.3103866577 0.001563182909574
52767.186225    0.98   0.05  0.013    0.002  -37  1    -88.6680755615 0.001232438481938
88966.723744    0.99   0.05  0.008    0.001  -42  2    -88.3985748291 0.000652495595268
150000  0.98 0.05    0.005  0.001    -46    2  -86.3783798218   0.000572747576459
