f	V1	e_V1	V2	e_V2	TdB	e_TdB	fase	e_fase
16.841082	1.02	0.05	0.028	0.002	-31.2	0.8	90.8479156494	0.008745815096128
28.362206	1.02	0.05	0.045	0.003	-27.2	0.7	90.4081573486	0.011525584864487
47.765024	1.01	0.05	0.077	0.005	-22.4	0.7	86.3862380981	0.016440313519857
80.44147	1.01	0.05	0.123	0.007	-18.3	0.6	83.4111022949	0.023320393167837
135.472142	1.01	0.05	0.2	0.01	-13.9	0.6	78.2926864624	0.03730565481897
228.149751	1	0.05	0.33	0.02	-9.5	0.6	69.9634857178	0.085323525033226
384.228874	0.99	0.05	0.52	0.03	-5.7	0.6	57.0023078918	0.910724579206259
647.083012	0.98	0.05	0.73	0.03	-2.6	0.6	38.9378242493	0.09785331383849
1089.75783	0.97	0.05	0.89	0.04	-0.8	0.6	14.5256271362	0.073062255870884
1835.270136	0.98	0.05	0.92	0.04	-0.5	0.6	-10.0810613632	0.069809248394253
3090.793552	0.99	0.05	0.78	0.04	-2.1	0.6	-32.9295425415	0.086345099581331
5205.230876	1.01	0.05	0.56	0.03	-5.1	0.6	-53.9999961853	0.3094006761647
8766.17219	1.02	0.05	0.36	0.02	-9	0.6	-68.0910720825	0.105714467556872
14763.182784	1.02	0.05	0.22	0.01	-13.4	0.6	-77.4387741089	0.041423579028864
24862.797717	1.02	0.05	0.125	0.007	-18.3	0.6	-83.3797225952	0.023395389674024
41871.642408	1.03	0.05	0.064	0.004	-24.2	0.7	-86.158996582	0.014225226808087
